field,person_id,college_id,graduation_year,degree,degree_id
Mechanical Engineering 機械,88611287,NA,NA,NA,88628717
Mechanical Engineering 機械,88611290,NA,NA,NA,88628720
Electrical Engineering 電機,88607816,NA,NA,NA,88625483
Architecture 建築,88611288,NA,NA,NA,88628718
Electrical Engineering 電機,88600764,NA,NA,NA,88618868
Civil Engineering 土木,88604353,NA,NA,NA,88622251
Chemical Engineering 化工,88607845,NA,NA,NA,88625509
Mechanical Engineering 機械,88605351,NA,NA,NA,88623170
Mechanical Engineering 機械,88603127,NA,NA,NA,88621097
Mechanical Engineering 機械,88603884,NA,NA,NA,88621819
Civil Engineering 土木,88603143,NA,NA,NA,88621112
Chemical Engineering 化工,88603288,NA,NA,NA,88621254
Aviation,88600054,NA,NA,NA,88618210
Mining and Metallurgy,88604780,NA,NA,NA,88622631
Civil Engineering 土木,88604328,NA,NA,NA,88622226
Electrical Engineering 電機,88611223,NA,NA,NA,88628662
Mechanical Engineering 機械,88601481,NA,NA,NA,88619542
Chemical Engineering 化工,88603670,NA,NA,NA,88621610
Textile Engineering 紡織,88606851,NA,NA,NA,88624566
Mechanical Engineering 機械,88604558,NA,NA,NA,88622432
Chemical Engineering 化工,88611207,NA,NA,NA,88628645
Mechanical Engineering 機械,88602213,NA,NA,NA,88620225
Mechanical Engineering 機械,88602145,NA,NA,NA,88620161
Aviation,88603056,NA,NA,NA,88621027
Chemical Engineering 化工,88602330,NA,NA,NA,88620338
Electrical Engineering 電機,88604560,NA,NA,NA,88622433
Civil Engineering 土木,88611212,NA,NA,NA,88628650
Aviation,88611195,NA,NA,NA,88628630
Naval Engineering,88604675,NA,NA,NA,88622538
Chemistry,88611838,NA,NA,NA,88629169
Mechanical Engineering 機械,88602323,NA,NA,NA,88620333
Naval Engineering,88604674,NA,NA,NA,88622537
Mechanical Engineering 機械,88606977,NA,NA,NA,88624693
Civil Engineering 土木,88610838,NA,NA,NA,88628274
Chemical Engineering 化工,88600613,NA,NA,NA,88618730
Chemical Engineering 化工,88606948,NA,NA,NA,88624666
Chemical Engineering 化工,88602725,NA,NA,NA,88620717
Chemical Engineering 化工,88604561,NA,NA,NA,88622434
Mechanical Engineering 機械,88605504,NA,NA,NA,88623305
Electrical Engineering 電機,88605256,NA,NA,NA,88623083
Chemical Engineering 化工,88600161,NA,NA,NA,88618312
Civil Engineering 土木,88601483,NA,NA,NA,88619544
Mechanical Engineering 機械,88602332,NA,NA,NA,88620341
Mechanical Engineering 機械,88611217,NA,NA,NA,88628655
Chemical Engineering 化工,88603051,NA,NA,NA,88621023
Chemistry,88600154,NA,NA,NA,88618304
Hydraulic Engineering,88605397,NA,NA,NA,88623209
Chemical Engineering 化工,88600615,NA,NA,NA,88618731
Mechanical Engineering 機械,88606990,NA,NA,NA,88624706
Mechanical Engineering 機械,88602333,NA,NA,NA,88620342
Electrical Engineering 電機,88606946,NA,NA,NA,88624663
Chemical Engineering 化工,88611208,NA,NA,NA,88628646
Chemistry,88603674,NA,NA,NA,88621614
Civil Engineering 土木,88601464,NA,NA,NA,88619526
Agricultural Engineering,88602720,NA,NA,NA,88620711
Civil Engineering 土木,88611209,NA,NA,NA,88628647
Civil Engineering 土木,88600612,NA,NA,NA,88618729
Civil Engineering 土木,88606993,NA,NA,NA,88624709
Mining and Metallurgy,88605255,NA,NA,NA,88623082
Civil Engineering 土木,88601480,NA,NA,NA,88619541
Mechanical Engineering 機械,88602325,NA,NA,NA,88620335
Chemistry,88602554,NA,NA,NA,88620552
Agricultural Chemistry,88606985,NA,NA,NA,88624701
Civil Engineering 土木,88601494,NA,NA,NA,88619555
Architecture 建築,88601486,NA,NA,NA,88619547
Chemistry,88605407,NA,NA,NA,88623221
Mechanical Engineering 機械,88600625,NA,NA,NA,88618741
Civil Engineering 土木,88606922,NA,NA,NA,88624637
Chemical Engineering 化工,88600620,NA,NA,NA,88618736
Chemical Engineering 化工,88603656,NA,NA,NA,88621596
Civil Engineering 土木,88611850,NA,NA,NA,88629174
Civil Engineering 土木,88603055,NA,NA,NA,88621026
Textile Engineering 紡織,88611859,NA,NA,NA,88629177
Mechanical Engineering 機械,88611839,NA,NA,NA,88629170
Civil Engineering 土木,88603649,NA,NA,NA,88621590
Aviation,88603038,NA,NA,NA,88621010
Mechanical Engineering 機械,88603038,NA,NA,NA,88621011
Chemical Engineering 化工,88600609,NA,NA,NA,88618726
Aviation,88605400,NA,NA,NA,88623212
Mechanical Engineering 機械,88605400,NA,NA,NA,88623213
